Stock,Date,Close,Predicted,Probability,Future_Close,Actual,Result
TCS,2025-10-24,3063.199951171875,UP,0.6721817851066589,3058.0,DOWN,WRONG
TCS,2025-10-27,3084.89990234375,UP,0.6233558654785156,3016.800048828125,DOWN,WRONG
TCS,2025-10-28,3057.89990234375,UP,0.6462370753288269,2990.199951171875,DOWN,WRONG
TCS,2025-10-29,3057.60009765625,UP,0.6245423555374146,3010.89990234375,DOWN,WRONG
TCS,2025-10-30,3035.300048828125,UP,0.6245423555374146,2991.800048828125,DOWN,WRONG
TCS,2025-10-31,3058.0,UP,0.6130293011665344,3025.199951171875,DOWN,WRONG
TCS,2025-11-03,3016.800048828125,UP,0.6211501359939575,3047.0,UP,CORRECT
TCS,2025-11-04,2990.199951171875,UP,0.6270430088043213,3131.800048828125,UP,CORRECT
TCS,2025-11-06,3010.89990234375,UP,0.6865447163581848,3105.699951171875,UP,CORRECT
TCS,2025-11-07,2991.800048828125,UP,0.6689956188201904,3106.0,UP,CORRECT
TCS,2025-11-10,3025.199951171875,UP,0.6657998561859131,3102.199951171875,UP,CORRECT
TCS,2025-11-11,3047.0,UP,0.6347447037696838,3087.10009765625,UP,CORRECT
TCS,2025-11-12,3131.800048828125,UP,0.6429937481880188,3147.699951171875,UP,CORRECT
TCS,2025-11-13,3105.699951171875,UP,0.5944229960441589,3144.800048828125,UP,CORRECT
TCS,2025-11-14,3106.0,UP,0.6170501708984375,3150.60009765625,UP,CORRECT
TCS,2025-11-17,3102.199951171875,UP,0.6170501708984375,3141.199951171875,UP,CORRECT
TCS,2025-11-18,3087.10009765625,UP,0.6170501708984375,3119.199951171875,UP,CORRECT
TCS,2025-11-19,3147.699951171875,UP,0.6099516749382019,3162.89990234375,UP,CORRECT
TCS,2025-11-20,3144.800048828125,UP,0.6099516749382019,3136.60009765625,DOWN,WRONG
TCS,2025-11-21,3150.60009765625,UP,0.6319926381111145,3137.5,DOWN,WRONG
TCS,2025-11-24,3141.199951171875,UP,0.6411380767822266,3133.39990234375,DOWN,WRONG
TCS,2025-11-25,3119.199951171875,UP,0.6099516749382019,3135.699951171875,UP,CORRECT
TCS,2025-11-26,3162.89990234375,UP,0.6099516749382019,3180.0,UP,CORRECT
TCS,2025-11-27,3136.60009765625,UP,0.6099516749382019,3229.199951171875,UP,CORRECT
TCS,2025-11-28,3137.5,UP,0.5944229960441589,3238.199951171875,UP,CORRECT
TCS,2025-12-01,3133.39990234375,UP,0.5944229960441589,3236.5,UP,CORRECT
TCS,2025-12-02,3135.699951171875,UP,0.6133146286010742,3208.300048828125,UP,CORRECT
TCS,2025-12-03,3180.0,UP,0.6002334952354431,3189.199951171875,UP,CORRECT
TCS,2025-12-04,3229.199951171875,UP,0.5947244763374329,3191.89990234375,DOWN,WRONG
TCS,2025-12-05,3238.199951171875,UP,0.539442777633667,3220.5,DOWN,WRONG
TCS,2025-12-08,3236.5,UP,0.5070949196815491,3230.199951171875,DOWN,WRONG
TCS,2025-12-09,3208.300048828125,UP,0.5187346339225769,3205.10009765625,DOWN,WRONG
TCS,2025-12-10,3189.199951171875,DOWN,0.5010031461715698,3217.800048828125,UP,WRONG
TCS,2025-12-11,3191.89990234375,UP,0.5025960206985474,3280.800048828125,UP,CORRECT
TCS,2025-12-12,3220.5,UP,0.5267955660820007,3282.0,UP,CORRECT
TCS,2025-12-15,3230.199951171875,DOWN,0.5010031461715698,3324.89990234375,UP,WRONG
TCS,2025-12-16,3205.10009765625,DOWN,0.5010031461715698,3310.0,UP,WRONG
TCS,2025-12-17,3217.800048828125,UP,0.5626344680786133,3319.0,UP,CORRECT
TCS,2025-12-18,3280.800048828125,UP,0.5070949196815491,3280.0,DOWN,WRONG
TCS,2025-12-19,3282.0,UP,0.5380488038063049,3251.5,DOWN,WRONG
TCS,2025-12-22,3324.89990234375,DOWN,0.5208949446678162,3246.800048828125,DOWN,CORRECT
TCS,2025-12-23,3310.0,DOWN,0.5208949446678162,3206.199951171875,DOWN,CORRECT
HDFCBANK,2025-07-30,1012.9000244140624,DOWN,0.7301640510559082,992.6500244140624,DOWN,CORRECT
HDFCBANK,2025-07-31,1009.0999755859376,DOWN,0.686631441116333,997.7000122070312,DOWN,CORRECT
HDFCBANK,2025-08-01,1006.0999755859376,DOWN,0.686631441116333,986.9500122070312,DOWN,CORRECT
HDFCBANK,2025-08-04,996.0,DOWN,0.6864859461784363,997.7999877929688,UP,WRONG
HDFCBANK,2025-08-05,988.7999877929688,DOWN,0.6779674291610718,984.9500122070312,DOWN,CORRECT
HDFCBANK,2025-08-06,992.6500244140624,DOWN,0.682774007320404,990.1500244140624,DOWN,CORRECT
HDFCBANK,2025-08-07,997.7000122070312,DOWN,0.7176880836486816,995.5499877929688,DOWN,CORRECT
HDFCBANK,2025-08-08,986.9500122070312,DOWN,0.7096588015556335,1001.7999877929688,UP,WRONG
HDFCBANK,2025-08-11,997.7999877929688,DOWN,0.7389928102493286,995.5499877929688,DOWN,CORRECT
HDFCBANK,2025-08-12,984.9500122070312,DOWN,0.7604235410690308,994.0999755859376,UP,WRONG
HDFCBANK,2025-08-13,990.1500244140624,DOWN,0.7604235410690308,995.5999755859376,UP,WRONG
HDFCBANK,2025-08-14,995.5499877929688,DOWN,0.7675088047981262,982.2999877929688,DOWN,CORRECT
HDFCBANK,2025-08-18,1001.7999877929688,DOWN,0.7675088047981262,982.0499877929688,DOWN,CORRECT
HDFCBANK,2025-08-19,995.5499877929688,DOWN,0.7675088047981262,973.4000244140624,DOWN,CORRECT
HDFCBANK,2025-08-20,994.0999755859376,DOWN,0.779848575592041,957.7999877929688,DOWN,CORRECT
HDFCBANK,2025-08-21,995.5999755859376,DOWN,0.7675088047981262,951.5999755859376,DOWN,CORRECT
HDFCBANK,2025-08-22,982.2999877929688,DOWN,0.7604235410690308,950.5999755859376,DOWN,CORRECT
HDFCBANK,2025-08-25,982.0499877929688,DOWN,0.7604235410690308,944.5,DOWN,CORRECT
HDFCBANK,2025-08-26,973.4000244140624,DOWN,0.7604235410690308,954.4500122070312,DOWN,CORRECT
HDFCBANK,2025-08-28,957.7999877929688,DOWN,0.7653088569641113,961.25,UP,WRONG
HDFCBANK,2025-08-29,951.5999755859376,DOWN,0.7653088569641113,963.4000244140624,UP,WRONG
HDFCBANK,2025-09-01,950.5999755859376,DOWN,0.7653088569641113,966.0,UP,WRONG
HDFCBANK,2025-09-02,944.5,DOWN,0.7017161846160889,965.1500244140624,UP,WRONG
HDFCBANK,2025-09-03,954.4500122070312,DOWN,0.7017161846160889,965.9000244140624,UP,WRONG
HDFCBANK,2025-09-04,961.25,DOWN,0.6946066617965698,967.7999877929688,UP,WRONG
HDFCBANK,2025-09-05,963.4000244140624,DOWN,0.7238186597824097,967.2999877929688,UP,WRONG
HDFCBANK,2025-09-08,966.0,DOWN,0.7591949105262756,967.0499877929688,UP,WRONG
HDFCBANK,2025-09-09,965.1500244140624,DOWN,0.7591949105262756,966.8499755859376,UP,WRONG
HDFCBANK,2025-09-10,965.9000244140624,DOWN,0.7591949105262756,966.5,UP,WRONG
HDFCBANK,2025-09-11,967.7999877929688,DOWN,0.7591949105262756,976.9000244140624,UP,WRONG
HDFCBANK,2025-09-12,967.2999877929688,DOWN,0.7591949105262756,966.9000244140624,DOWN,CORRECT
HDFCBANK,2025-09-15,967.0499877929688,DOWN,0.7591949105262756,964.2000122070312,DOWN,CORRECT
HDFCBANK,2025-09-16,966.8499755859376,DOWN,0.7712723016738892,957.2000122070312,DOWN,CORRECT
